Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,169936.00,49.4
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2703.00,53.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,436.00,63.7
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,4184.00,56.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1625.00,51.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,13840.00,33.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,3037.00,53.6
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,2078.00,53.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,608.00,61.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,427.00,61
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,13059.00,56.1
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,4712.00,45.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Hawaii,585.00,35.7
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,876.00,49.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Illinois,6019.00,44.4
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,3978.00,58.7
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1536.00,42.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1567.00,49.4
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,3264.00,72.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,2780.00,58.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,990.00,68
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maryland,2408.00,36.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,3821.00,51.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,5623.00,53
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,2788.00,44.6
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Mississippi,1738.00,56.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,3776.00,58.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Montana,579.00,50.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,811.00,38.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1496.00,47.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,907.00,62.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Jersey,4482.00,47.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Mexico,1460.00,68.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New York,7687.00,35.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,5985.00,56.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,339.00,41.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,8971.00,75.1
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,2563.00,62.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,2076.00,44.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,9527.00,70.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,718.00,60
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,3147.00,60.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,537.00,56.1
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,4435.00,63
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,10763.00,38.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1238.00,44.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,394.00,56.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,3922.00,44
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,3455.00,44
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,1892.00,100.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,3746.00,58.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,348.00,56.9
2017,All Causes,All causes,United States,2813503.00,731.9
2017,All Causes,All causes,Alabama,53238.00,917.7
2017,All Causes,All causes,Alaska,4411.00,708.8
2017,All Causes,All causes,Arizona,57758.00,678.5
2017,All Causes,All causes,Arkansas,32588.00,900.1
2017,All Causes,All causes,California,268189.00,618.7
2017,All Causes,All causes,Colorado,38063.00,663.4
2017,All Causes,All causes,Connecticut,31312.00,651.2
2017,All Causes,All causes,Delaware,9178.00,749.6
2017,All Causes,All causes,District of Columbia,4965.00,725.4
2017,All Causes,All causes,Florida,203636.00,672.1
2017,All Causes,All causes,Georgia,83098.00,793.7
2017,All Causes,All causes,Hawaii,11390.00,584.9
2017,All Causes,All causes,Idaho,14011.00,741.8
2017,All Causes,All causes,Illinois,109721.00,724.2
2017,All Causes,All causes,Indiana,65597.00,848.6
2017,All Causes,All causes,Iowa,30530.00,737
2017,All Causes,All causes,Kansas,27063.00,771.2
2017,All Causes,All causes,Kentucky,48212.00,929.9
2017,All Causes,All causes,Louisiana,45804.00,881.1
2017,All Causes,All causes,Maine,14676.00,771.6
2017,All Causes,All causes,Maryland,49926.00,718.1
2017,All Causes,All causes,Massachusetts,58803.00,677.1
2017,All Causes,All causes,Michigan,97602.00,783.5
2017,All Causes,All causes,Minnesota,44371.00,656.4
2017,All Causes,All causes,Mississippi,32280.00,951.3
2017,All Causes,All causes,Missouri,61876.00,820.1
2017,All Causes,All causes,Montana,10200.00,757.5
2017,All Causes,All causes,Nebraska,16878.00,726
2017,All Causes,All causes,Nevada,24657.00,765.5
2017,All Causes,All causes,New Hampshire,12504.00,717.3
2017,All Causes,All causes,New Jersey,74846.00,667.5
2017,All Causes,All causes,New Mexico,18673.00,754.7
2017,All Causes,All causes,New York,155358.00,623.6
2017,All Causes,All causes,North Carolina,93157.00,785.6
2017,All Causes,All causes,North Dakota,6415.00,692.7
2017,All Causes,All causes,Ohio,123648.00,849.7
2017,All Causes,All causes,Oklahoma,40452.00,902.4
2017,All Causes,All causes,Oregon,36624.00,717.2
2017,All Causes,All causes,Pennsylvania,135656.00,777.3
2017,All Causes,All causes,Rhode Island,10157.00,713.4
2017,All Causes,All causes,South Carolina,49441.00,828
2017,All Causes,All causes,South Dakota,7996.00,736.6
2017,All Causes,All causes,Tennessee,70096.00,897.1
2017,All Causes,All causes,Texas,198106.00,735.7
2017,All Causes,All causes,Utah,18035.00,700.1
2017,All Causes,All causes,Vermont,6007.00,714.9
2017,All Causes,All causes,Virginia,68579.00,719.4
2017,All Causes,All causes,Washington,56995.00,688.6
2017,All Causes,All causes,West Virginia,23276.00,957.1
2017,All Causes,All causes,Wisconsin,52681.00,722
2017,All Causes,All causes,Wyoming,4768.00,714.6
2017,Alzheimer's disease (G30),Alzheimer's disease,United States,121404.00,31
2017,Alzheimer's disease (G30),Alzheimer's disease,Alabama,2563.00,45.2
2017,Alzheimer's disease (G30),Alzheimer's disease,Alaska,98.00,22.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Arizona,3058.00,35.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1436.00,39.4
2017,Alzheimer's disease (G30),Alzheimer's disease,California,16238.00,37.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1830.00,34.2
2017,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,1077.00,20.4
2017,Alzheimer's disease (G30),Alzheimer's disease,Delaware,377.00,30.6
2017,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,125.00,17.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Florida,6980.00,20.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Georgia,4290.00,46
2017,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,465.00,19.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Idaho,672.00,36.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Illinois,4021.00,25.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2771.00,35.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1597.00,35.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Kansas,894.00,24.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1765.00,35
2017,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,2188.00,43.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Maine,601.00,30.4
2017,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1191.00,17.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1841.00,19.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Michigan,4428.00,34.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,2474.00,34.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1626.00,49.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2545.00,32.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Montana,285.00,20.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,698.00,28.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Nevada,779.00,27.3
2017,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,436.00,24.8
2017,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,2829.00,23.6
2017,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,572.00,22.7
2017,Alzheimer's disease (G30),Alzheimer's disease,New York,3521.00,13.2
2017,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,4289.00,37.3
2017,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,387.00,36.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Ohio,5117.00,33.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1752.00,39.4
2017,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1850.00,36
2017,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,4213.00,21.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,435.00,27.3
2017,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,2549.00,45
2017,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,444.00,36.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3522.00,46.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Texas,9545.00,38.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Utah,991.00,42.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Vermont,370.00,42.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Virginia,2549.00,27.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Washington,3710.00,46
2017,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,770.00,30.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,2428.00,31.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,212.00,32.7
2017,Cerebrovascular diseases (I60-I69),Stroke,United States,146383.00,37.6
2017,Cerebrovascular diseases (I60-I69),Stroke,Alabama,2931.00,50
2017,Cerebrovascular diseases (I60-I69),Stroke,Alaska,190.00,35.1
2017,Cerebrovascular diseases (I60-I69),Stroke,Arizona,2681.00,30.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Arkansas,1612.00,43.8
2017,Cerebrovascular diseases (I60-I69),Stroke,California,16355.00,37.6
2017,Cerebrovascular diseases (I60-I69),Stroke,Colorado,1988.00,35.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Connecticut,1403.00,27.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Delaware,571.00,46.2
2017,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,246.00,35.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Florida,12602.00,38.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Georgia,4399.00,43.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Hawaii,764.00,37.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Idaho,726.00,38.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Illinois,6020.00,38.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Indiana,3150.00,40.2
2017,Cerebrovascular diseases (I60-I69),Stroke,Iowa,1416.00,32.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1355.00,37.7
2017,Cerebrovascular diseases (I60-I69),Stroke,Kentucky,2050.00,39.4
